종목코드,종목명,일자,종가,종가_등락비율,종가_방향,SMA5_등락비율,SMA20_등락비율,SMA60_등락비율,BB상_등락비율,BB중_등락비율,BB하_등락비율,RSI_등락비율,MACD_등락비율,SMA5_전일방향,SMA5_종가일치,SMA20_전일방향,SMA20_종가일치,SMA60_전일방향,SMA60_종가일치,BB상_전일방향,BB상_종가일치,BB중_전일방향,BB중_종가일치,BB하_전일방향,BB하_종가일치,RSI_전일방향,RSI_종가일치,MACD_전일방향,MACD_종가일치
000270.KS,기아,2026-04-29,156900.0000,0.8355,상승,-0.3974,0.0520,,0.0993,0.0520,-0.0007,2.7503,,,,,,,,,,,,,,,,,
000270.KS,기아,2026-04-30,151800.0000,-3.2505,하락,-0.8495,0.0389,,-0.0155,0.0389,0.0995,-11.2119,,하락,1,상승,0,,,상승,0,상승,0,하락,1,상승,0,,
000270.KS,기아,2026-05-04,154000.0000,1.4493,상승,0.0779,0.1233,,-0.0069,0.1233,0.2679,5.4692,,하락,0,상승,1,,,하락,0,상승,1,상승,1,하락,0,,
000270.KS,기아,2026-05-06,154600.0000,0.3896,상승,0.2594,0.0972,,0.0317,0.0972,0.1698,1.4269,,상승,1,상승,1,,,하락,0,상승,1,상승,1,상승,1,,
000270.KS,기아,2026-05-07,157600.0000,1.9405,상승,0.2588,0.2201,,0.1622,0.2201,0.2842,6.9317,,상승,1,상승,1,,,상승,1,상승,1,상승,1,상승,1,,
000270.KS,기아,2026-05-08,164500.0000,4.3782,상승,0.9808,0.1712,,0.7122,0.1712,-0.4269,12.6595,,상승,1,상승,1,,,상승,1,상승,1,상승,1,상승,1,,
000270.KS,기아,2026-05-11,174700.0000,6.2006,상승,2.9265,0.7803,,2.7297,0.7803,-1.3994,12.2530,,상승,1,상승,1,,,상승,1,상승,1,하락,0,상승,1,,
000270.KS,기아,2026-05-12,168300.0000,-3.6634,하락,1.7755,0.6175,,0.9278,0.6175,0.2560,-11.5633,,상승,0,상승,0,,,상승,0,상승,0,하락,1,상승,0,,
000270.KS,기아,2026-05-13,179500.0000,6.6548,상승,3.0377,1.0207,,2.4290,1.0207,-0.6309,11.5444,,상승,1,상승,1,,,상승,1,상승,1,상승,1,하락,0,,
000270.KS,기아,2026-05-14,178100.0000,-0.7799,하락,2.4272,0.9096,,1.6897,0.9096,-0.0334,-2.3520,,상승,0,상승,0,,,상승,0,상승,0,하락,1,상승,0,,
000270.KS,기아,2026-05-15,168000.0000,-5.6710,하락,0.4046,0.5147,,0.3572,0.5147,0.7083,-15.4502,,상승,0,상승,0,,,상승,0,상승,0,하락,1,하락,1,,
000270.KS,기아,2026-05-18,162500.0000,-3.2738,하락,-1.4046,0.1427,,0.0965,0.1427,0.1994,-8.3079,,상승,0,상승,0,,,상승,0,상승,0,상승,0,하락,1,,
000270.KS,기아,2026-05-19,154900.0000,-4.6769,하락,-1.5647,-0.1332,,0.0031,-0.1332,-0.3002,-11.0028,-25.4122,하락,1,상승,0,,,상승,0,상승,0,상승,0,하락,1,,
000270.KS,기아,2026-05-20,149400.0000,-3.5507,하락,-3.5706,-0.2482,,0.1781,-0.2482,-0.7718,-7.8978,-40.2066,하락,1,하락,1,,,상승,0,하락,1,하락,1,하락,1,하락,1
000270.KS,기아,2026-05-21,167900.0000,12.3829,상승,-1.2548,0.2457,,0.3763,0.2457,0.0839,30.6293,15.7852,하락,0,하락,0,,,상승,1,하락,0,하락,0,하락,0,하락,0
000270.KS,기아,2026-05-22,164800.0000,-1.8463,하락,-0.3987,0.1489,,0.1695,0.1489,0.1233,-3.8593,-0.5321,하락,1,상승,0,,,상승,0,상승,0,상승,0,상승,0,상승,0
000270.KS,기아,2026-05-26,167000.0000,1.3350,상승,0.5629,0.2665,,0.3010,0.2665,0.2235,2.5574,5.6286,하락,0,상승,1,,,상승,1,상승,1,상승,1,하락,0,하락,0
000270.KS,기아,2026-05-27,164700.0000,-1.3772,하락,1.2189,0.3492,,0.0956,0.3492,0.6649,-3.1249,-4.0784,상승,0,상승,0,,,상승,0,상승,0,상승,0,상승,0,상승,0
000270.KS,기아,2026-05-28,164300.0000,-0.2429,하락,1.8309,0.3603,,0.0021,0.3603,0.8036,-0.5819,-5.7605,상승,0,상승,0,,,상승,0,상승,0,상승,0,하락,1,하락,1
000270.KS,기아,2026-05-29,169200.0000,2.9823,상승,0.1569,0.4173,,0.2969,0.4173,0.5651,6.5308,10.8367,상승,1,상승,1,,,상승,1,상승,1,상승,1,하락,0,하락,0
000270.KS,기아,2026-06-01,169900.0000,0.4137,상승,0.6145,0.3972,,0.3117,0.3972,0.5019,0.8664,8.6815,상승,1,상승,1,,,상승,1,상승,1,상승,1,상승,1,상승,1
000270.KS,기아,2026-06-02,168800.0000,-0.6474,하락,0.2155,0.5174,,-0.0494,0.5174,1.2102,-1.8028,1.9944,상승,0,상승,0,,,상승,0,상승,0,상승,0,상승,0,상승,0
000270.KS,기아,2026-06-04,164300.0000,-2.6659,하락,-0.0478,0.3119,,-0.1874,0.3119,0.9145,-7.3580,-12.1395,상승,0,상승,0,,,하락,1,상승,0,상승,0,하락,1,상승,0
000270.KS,기아,2026-06-05,161100.0000,-1.9477,하락,-0.3825,0.1962,,-0.2218,0.1962,0.6953,-5.3343,-22.1075,하락,1,상승,0,,,하락,1,상승,0,상승,0,하락,1,하락,1
000270.KS,기아,2026-06-08,151400.0000,-6.0211,하락,-2.1361,-0.1868,,0.3694,-0.1868,-0.8448,-14.8308,-62.8480,하락,1,상승,0,,,하락,1,상승,0,상승,0,하락,1,하락,1
000270.KS,기아,2026-06-09,164300.0000,8.5205,상승,-0.6867,-0.0060,,-0.0037,-0.0060,-0.0089,25.0733,7.6174,하락,0,하락,0,,,상승,1,하락,0,하락,0,하락,0,하락,0
000270.KS,기아,2026-06-10,159700.0000,-2.7998,하락,-1.1236,-0.4527,,-0.6325,-0.4527,-0.2375,-6.3037,-42.4114,하락,1,하락,1,,,하락,1,하락,1,하락,1,상승,0,상승,0
000270.KS,기아,2026-06-11,156000.0000,-2.3168,하락,-1.0365,-0.3729,,-0.1146,-0.3729,-0.6811,-5.1777,-124.2297,하락,1,하락,1,,,하락,1,하락,1,하락,1,하락,1,하락,1
000270.KS,기아,2026-06-12,166800.0000,6.9231,상승,0.7192,-0.3865,,-1.2780,-0.3865,0.6829,16.6270,-387.1895,하락,0,하락,0,,,하락,0,하락,0,하락,0,하락,0,하락,0
000270.KS,기아,2026-06-15,167500.0000,0.4197,상승,2.0170,-0.3239,,-1.2049,-0.3239,0.7125,0.8475,122.2672,상승,1,하락,0,,,하락,0,하락,0,상승,1,상승,1,하락,0
000270.KS,기아,2026-06-16,170200.0000,1.6119,상승,0.7245,0.0674,,0.1896,0.0674,-0.0735,3.3236,72.8108,상승,1,하락,0,,,하락,0,하락,0,상승,1,상승,1,상승,1
000270.KS,기아,2026-06-17,166300.0000,-2.2914,하락,0.8047,0.1164,,0.1475,0.1164,0.0804,-5.6697,6.0830,상승,0,상승,0,,,상승,0,상승,0,하락,1,상승,0,상승,0
000270.KS,기아,2026-06-18,158800.0000,-4.5099,하락,0.3387,0.1193,,-0.1420,0.1193,0.4218,-10.5081,-43.3953,상승,0,상승,0,,,상승,0,상승,0,상승,0,하락,1,상승,0
000270.KS,기아,2026-06-19,154900.0000,-2.4559,하락,-1.4344,0.1681,,-0.5109,0.1681,0.9497,-5.5575,-104.1492,상승,0,상승,0,,,하락,1,상승,0,상승,0,하락,1,하락,1
000270.KS,기아,2026-06-22,151400.0000,-2.2595,하락,-1.9689,-0.5034,,0.1918,-0.5034,-1.2921,-5.0974,2894.3032,하락,1,상승,0,,,하락,1,상승,0,상승,0,하락,1,하락,1
000270.KS,기아,2026-06-23,137400.0000,-9.2470,하락,-4.0918,-0.8401,,1.7935,-0.8401,-3.8731,-18.0045,198.6751,하락,1,하락,1,,,상승,0,하락,1,하락,1,하락,1,상승,0
000270.KS,기아,2026-06-24,138900.0000,1.0917,상승,-3.5640,-0.8689,,0.6807,-0.8689,-2.7586,3.8707,46.5251,하락,0,하락,0,,,상승,1,하락,0,하락,0,하락,0,상승,1
000270.KS,기아,2026-06-25,139500.0000,0.4320,상승,-2.6032,-0.7861,,0.3842,-0.7861,-2.2637,1.5589,22.5224,하락,0,하락,0,,,상승,1,하락,0,하락,0,상승,1,상승,1
000270.KS,기아,2026-06-26,135300.0000,-3.0108,하락,-2.7143,-0.9117,-0.1706,0.4597,-0.9117,-2.6903,-6.1486,20.2049,하락,1,하락,1,,,상승,0,하락,1,하락,1,상승,0,상승,0
000270.KS,기아,2026-06-29,140600.0000,3.9172,상승,-1.5374,-0.9074,-0.0485,-0.5219,-0.9074,-1.4236,14.8917,4.7415,하락,0,하락,0,하락,0,상승,1,하락,0,하락,0,하락,0,상승,1
000270.KS,기아,2026-06-30,139300.0000,-0.9246,하락,0.2747,-0.9798,-0.1689,-0.7375,-0.9798,-1.3072,-1.9963,4.1138,하락,1,하락,1,하락,1,하락,1,하락,1,하락,1,상승,0,상승,0
000660.KS,SK하이닉스,2026-04-29,1293000.0000,-0.5385,하락,1.1179,1.8268,,1.4703,1.8268,2.4393,-1.4122,,,,,,,,,,,,,,,,,
000660.KS,SK하이닉스,2026-04-30,1286000.0000,-0.5414,하락,0.9634,2.0659,,0.2903,2.0659,5.0875,-1.4980,,상승,0,상승,0,,,상승,0,상승,0,상승,0,하락,1,,
000660.KS,SK하이닉스,2026-05-04,1447000.0000,12.5194,상승,3.5195,2.5345,,2.6725,2.5345,2.3104,8.9838,,상승,1,상승,1,,,상승,1,상승,1,상승,1,하락,0,,
000660.KS,SK하이닉스,2026-05-06,1601000.0000,10.6427,상승,4.6691,3.0952,,4.8983,3.0952,0.1566,4.8432,,상승,1,상승,1,,,상승,1,상승,1,상승,1,상승,1,,
000660.KS,SK하이닉스,2026-05-07,1654000.0000,3.3104,상승,5.1104,3.0989,,4.7282,3.0989,0.3176,1.2388,,상승,1,상승,1,,,상승,1,상승,1,상승,1,상승,1,,
000660.KS,SK하이닉스,2026-05-08,1686000.0000,1.9347,상승,5.3976,2.6596,,4.6991,2.6596,-0.9749,0.7020,,상승,1,상승,1,,,상승,1,상승,1,상승,1,상승,1,,
000660.KS,SK하이닉스,2026-05-11,1880000.0000,11.5065,상승,7.7404,3.4992,,6.6804,3.4992,-2.4947,3.3320,,상승,1,상승,1,,,상승,1,상승,1,하락,0,상승,1,,
000660.KS,SK하이닉스,2026-05-12,1835000.0000,-2.3936,하락,4.6928,3.0972,,4.3801,3.0972,0.4526,-5.4854,,상승,0,상승,0,,,상승,0,상승,0,하락,1,상승,0,,
000660.KS,SK하이닉스,2026-05-13,1976000.0000,7.6839,상승,4.3323,3.4801,,5.3279,3.4801,-0.4780,2.6671,,상승,1,상승,1,,,상승,1,상승,1,상승,1,하락,0,,
000660.KS,SK하이닉스,2026-05-14,1970000.0000,-0.3036,하락,3.4991,3.1151,,4.2245,3.1151,0.6001,-0.7107,,상승,0,상승,0,,,상승,0,상승,0,하락,1,상승,0,,
000660.KS,SK하이닉스,2026-05-15,1819000.0000,-7.6650,하락,1.4229,2.3799,,1.9942,2.3799,3.2857,-16.1502,,상승,0,상승,0,,,상승,0,상승,0,상승,0,하락,1,,
000660.KS,SK하이닉스,2026-05-18,1840000.0000,1.1545,상승,-0.4219,2.3314,,1.7968,2.3314,3.5711,0.8732,,상승,1,상승,1,,,상승,1,상승,1,상승,1,하락,0,,
000660.KS,SK하이닉스,2026-05-19,1745000.0000,-5.1630,하락,-0.9534,2.0521,,0.6353,2.0521,5.2817,-10.3185,-6.2354,하락,1,상승,0,,,상승,0,상승,0,상승,0,상승,0,,
000660.KS,SK하이닉스,2026-05-20,1745000.0000,0.0000,보합,-2.4706,1.8870,,0.4593,1.8870,4.9978,0.0000,-6.3498,하락,,상승,,,,상승,,상승,,상승,,하락,,하락,
000660.KS,SK하이닉스,2026-05-21,1940000.0000,11.1748,상승,-0.3290,2.2902,,1.7061,2.2902,3.5080,10.1380,0.4240,하락,0,상승,1,,,상승,1,상승,1,상승,1,보합,,하락,0
000660.KS,SK하이닉스,2026-05-22,1941000.0000,0.0515,상승,1.3423,2.2452,,1.2430,2.2452,4.2983,0.0408,-0.7737,하락,0,상승,1,,,상승,1,상승,1,상승,1,상승,1,상승,1
000660.KS,SK하이닉스,2026-05-26,2052000.0000,5.7187,상승,2.3016,2.5293,,1.6601,2.5293,4.2576,4.3059,2.1773,상승,1,상승,1,,,상승,1,상승,1,상승,1,상승,1,하락,0
000660.KS,SK하이닉스,2026-05-27,2243000.0000,9.3080,상승,5.2849,3.0456,,2.8331,3.0456,3.4576,5.5796,7.1445,상승,1,상승,1,,,상승,1,상승,1,상승,1,상승,1,상승,1
000660.KS,SK하이닉스,2026-05-28,2289000.0000,2.0508,상승,5.4833,2.8861,,2.7983,2.8861,3.0553,1.0805,5.5715,상승,1,상승,1,,,상승,1,상승,1,상승,1,상승,1,상승,1
000660.KS,SK하이닉스,2026-05-29,2333000.0000,1.9222,상승,3.7554,2.9064,,2.4220,2.9064,3.8376,1.0078,4.3423,상승,1,상승,1,,,상승,1,상승,1,상승,1,상승,1,상승,1
000660.KS,SK하이닉스,2026-06-01,2363000.0000,1.2859,상승,3.8865,2.9255,,1.7958,2.9255,5.0676,0.6797,3.0012,상승,1,상승,1,,,상승,1,상승,1,상승,1,상승,1,상승,1
000660.KS,SK하이닉스,2026-06-02,2360000.0000,-0.1270,하락,2.7305,2.8530,,0.7933,2.8530,6.6369,-0.3284,1.0578,상승,0,상승,0,,,상승,0,상승,0,상승,0,상승,0,상승,0
